ticker,model,mse,rmse,mae,direction_accuracy,correlation
AAPL,Naive,0.0015189054497499789,0.03897313754049036,0.030246562647947263,0.5506072874493927,-0.023526575869587795
AAPL,Ridge,0.001520643947302772,0.03899543495465555,0.030304853865683875,0.5330634278002699,0.022895760946717546
AAPL,RandomForest,0.0016111945448645188,0.040139687901932154,0.031104788186407054,0.5465587044534413,0.04540927769523361
MSFT,Naive,0.0014503987311503268,0.03808410076594072,0.028153283256526856,0.5607287449392713,-0.025897850448488583
MSFT,Ridge,0.0015056690022709732,0.03880295094797525,0.02899221438188316,0.5209176788124157,0.06534714219749167
MSFT,RandomForest,0.0015519849513088272,0.039395240211335524,0.03002387019975749,0.520242914979757,0.07329226962894099
GOOGL,Naive,0.0018711482074168125,0.04325677065404689,0.033105364559595514,0.5593792172739541,-0.10728530853628353
GOOGL,Ridge,0.0018984954631272209,0.043571727795982805,0.03336701447446772,0.5641025641025641,-0.023568496883490764
GOOGL,RandomForest,0.0019583744549684936,0.04425352477451365,0.03417716129104916,0.5168690958164642,0.013705092286283102
AMZN,Naive,0.0024401556183490537,0.04939793131649395,0.036399282392170676,0.5323886639676113,-0.04621711134228449
AMZN,Ridge,0.002459172031226678,0.049590039637276734,0.036543522655417784,0.5377867746288799,0.04442365596803772
AMZN,RandomForest,0.002667332711853088,0.05164622650158565,0.03759894967353724,0.5290148448043185,0.0252399149229201
SPY,Naive,0.0004959948161654906,0.022270941070495664,0.016569465526865976,0.6052631578947368,-0.05976502242324493
SPY,Ridge,0.0005032428658760467,0.022433075265688534,0.016849244438152663,0.5398110661268556,0.02176948561254029
SPY,RandomForest,0.0005623806763972751,0.023714566755420077,0.017409004035380562,0.5762483130904184,-0.08128279540154254
